title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
Tomchic SF 型号全身背心，侧拉链设计，提供 99% 的压缩效果。,黑色，L码,15.9,https://cf.shopee.co.th/file/th-11134207-81ztn-mpdaxla2xfr6fd,http://shopee.co.th/product/2193890/51100529,Women Clothes,Lingerie & Underwear,IVCN2026092054955,34319482,https://detail.1688.com/offer/629325048438.html?spm=a26352.13672862.offerlist.94.652f5912tmX8nk&offerId=629325048438&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=9f7f568c9e6f44088bade13aca74e254&skuId=4475625076669&forcePC=1768270224636,高价品,20260920,51100529,15.9,高价品,1,Others
Tomchic - SFG 半长背心，钩扣闭合，99% 压缩。,黑色，L码,8.5,https://cf.shopee.co.th/file/th-11134207-81ztn-mpged1edzx8v69,http://shopee.co.th/product/2193890/51105607,Women Clothes,Lingerie & Underwear,IVCN2026092054957,270301111,https://detail.1688.com/offer/543586126760.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260920,51105607,8.5,高价品,3,Bras
Tomchic - SFG 半长背心，钩扣闭合，99% 压缩。,白色，XL码,15.9,https://cf.shopee.co.th/file/th-11134207-81ztm-mpge3soeir5s8f,http://shopee.co.th/product/2193890/51105607,Women Clothes,Lingerie & Underwear,IVCN2026092054957,34322393,https://detail.1688.com/offer/629325048438.html?spm=a26352.13672862.offerlist.94.652f5912tmX8nk&offerId=629325048438&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=9f7f568c9e6f44088bade13aca74e254&skuId=4475625076669&forcePC=1768270224636,高价品,20260920,51105607,15.9,高价品,3,Bras
Tomchic - SFG 半长背心，钩扣闭合，99% 压缩。,黑色，XL码,8.5,https://cf.shopee.co.th/file/th-11134207-81ztm-mpged1eh2w3m5c,http://shopee.co.th/product/2193890/51105607,Women Clothes,Lingerie & Underwear,IVCN2026092054957,270301112,https://detail.1688.com/offer/543586126760.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260920,51105607,8.5,高价品,3,Bras
【直播】女士纯棉内裤6条装，拉链袋包装，透气抗菌 7166 【颜色随机发货】,M码,12.9,https://cf.shopee.vn/file/sg-11134201-8258b-msf4g1nvyqyp44,http://shopee.vn/product/13346195/388669465,Women Clothes,Lingerie & Underwear,IVCN2026092054959,295073200,https://detail.1688.com/offer/740326335714.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2104999217516098881646295e0ebf&token=j7H%2FYLJ%2FSjIysJKvxdapTh9eVF7iTB0yocR%2BjiIG3JwdSHjrYdS0lTFZNtMm8Fa9,高价品,20260920,388669465,12.9,高价品,3,Panties
【直播】女士纯棉内裤6条装，拉链袋包装，透气抗菌 7166 【颜色随机发货】,L码,13.8,https://cf.shopee.vn/file/sg-11134201-8258b-msf4g1nvyqyp44,http://shopee.vn/product/13346195/388669465,Women Clothes,Lingerie & Underwear,IVCN2026092054959,295073202,https://detail.1688.com/offer/740326335714.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2104999217516098881646295e0ebf&token=j7H%2FYLJ%2FSjIysJKvxdapTh9eVF7iTB0yocR%2BjiIG3JwdSHjrYdS0lTFZNtMm8Fa9,高价品,20260920,388669465,13.8,高价品,3,Panties
【直播】女士纯棉内裤6条装，拉链袋包装，透气抗菌 7166 【颜色随机发货】,LL码,14.7,https://cf.shopee.vn/file/sg-11134201-8258b-msf4g1nvyqyp44,http://shopee.vn/product/13346195/388669465,Women Clothes,Lingerie & Underwear,IVCN2026092054959,295073203,https://detail.1688.com/offer/740326335714.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2104999217516098881646295e0ebf&token=j7H%2FYLJ%2FSjIysJKvxdapTh9eVF7iTB0yocR%2BjiIG3JwdSHjrYdS0lTFZNtMm8Fa9,高价品,20260920,388669465,14.7,高价品,3,Panties
华歌尔无钢圈文胸，极致舒适之选。华歌尔精选系列，型号 WB3A14，米色 (BE)。,B70,40,https://cf.shopee.co.th/file/th-11134207-81zti-mi18wphtob9d8e,http://shopee.co.th/product/30954292/425564543,Women Clothes,Lingerie & Underwear,IVCN2026092054961,327953833,https://detail.1688.com/offer/837227984022.html?spm=a26352.b28411319.offerlist.85.2d9c1e62SjonLJ,高价品,20260920,425564543,40,高价品,8,Bras
华歌尔无钢圈文胸，极致舒适之选。华歌尔精选系列，型号 WB3A14，米色 (BE)。,A85,31.7,https://cf.shopee.co.th/file/th-11134207-81zti-mi18wphtob9d8e,http://shopee.co.th/product/30954292/425564543,Women Clothes,Lingerie & Underwear,IVCN2026092054961,327953831,https://detail.1688.com/offer/870416656992.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260920,425564543,31.7,高价品,8,Bras
华歌尔无钢圈文胸，极致舒适之选。华歌尔精选系列，型号 WB3A14，米色 (BE)。,A80,40,https://cf.shopee.co.th/file/th-11134207-81zti-mi18wphtob9d8e,http://shopee.co.th/product/30954292/425564543,Women Clothes,Lingerie & Underwear,IVCN2026092054961,327953830,https://detail.1688.com/offer/837227984022.html?spm=a26352.b28411319.offerlist.85.2d9c1e62SjonLJ,高价品,20260920,425564543,40,高价品,8,Bras
